Type,Content,text_cleaned,text_processed,sentiment
p,"The renewed violence, which continued sporadically until the beginning of World War II, ended with around 5,000 casualties, mostly from the Arab side. With the eruption of World War II, the situation in Mandatory Palestine calmed down. It allowed a shift towards a more moderate stance among Palestinian Arabs under the leadership of the Nashashibi clan and even the establishment of the Jewish–Arab Palestine Regiment under British command, fighting Germans in North Africa. The more radical exiled faction of al-Husseini, however, tended to cooperate with Nazi Germany, and participated in the establishment of a pro-Nazi propaganda machine throughout the Arab world. The defeat of Arab nationalists in Iraq and subsequent relocation of al-Husseini to Nazi-occupied Europe tied his hands regarding field operations in Palestine, though he regularly demanded that the Italians and the Germans bomb Tel Aviv. By the end of World War II, a crisis over the fate of the Holocaust survivors from Europe led to renewed tensions between the Yishuv and the Palestinian Arab leadership. Immigration quotas were established by the British, while on the other hand illegal immigration and Zionist insurgency against the British was increasing.[26]",the renewed violence which continued sporadically until the beginning of world war ii ended with around  casualties mostly from the arab side with the eruption of world war ii the situation in mandatory palestine calmed down it allowed a shift towards a more moderate stance among palestinian arabs under the leadership of the nashashibi clan and even the establishment of the jewisharab palestine regiment under british command fighting germans in north africa the more radical exiled faction of alhusseini however tended to cooperate with nazi germany and participated in the establishment of a pronazi propaganda machine throughout the arab world the defeat of arab nationalists in iraq and subsequent relocation of alhusseini to nazioccupied europe tied his hands regarding field operations in palestine though he regularly demanded that the italians and the germans bomb tel aviv by the end of world war ii a crisis over the fate of the holocaust survivors from europe led to renewed tensions between the yishuv and the palestinian arab leadership immigration quotas were established by the british while on the other hand illegal immigration and zionist insurgency against the british was increasing,renewed violence continued sporadically until beginning world war ii ended around casualties mostly arab side eruption world war ii situation mandatory palestine calmed down allowed shift towards more moderate stance among palestinian arabs under leadership nashashibi clan even establishment jewisharab palestine regiment under british command fighting germans north africa more radical exiled faction alhusseini however tended cooperate nazi germany participated establishment pronazi propaganda machine throughout arab world defeat arab nationalists iraq subsequent relocation alhusseini nazioccupied europe tied his hands regarding field operations palestine though he regularly demanded italians germans bomb tel aviv end world war ii crisis over fate holocaust survivors europe led renewed tensions between yishuv palestinian arab leadership immigration quotas were established british while other hand illegal immigration zionist insurgency against british increasing,0.047649572649572654
p,"On 29 November 1947, the General Assembly of the United Nations adopted Resolution 181(II)[34] recommending the adoption and implementation of a plan to partition Palestine into an Arab state, a Jewish state and the City of Jerusalem.[35] On the next day, Palestine was swept by violence. For four months, under continuous Arab provocation and attack, the Yishuv was usually on the defensive while occasionally retaliating.[36] The Arab League supported the Arab struggle by forming the volunteer-based Arab Liberation Army, supporting the Palestinian Arab Army of the Holy War, under the leadership of Abd al-Qadir al-Husayni and Hasan Salama. On the Jewish side, the civil war was managed by the major underground militias – the Haganah, Irgun and Lehi – strengthened by numerous Jewish veterans of World War II and foreign volunteers. By spring 1948, it was already clear that the Arab forces were nearing a total collapse, while Yishuv forces gained more and more territory, creating a large scale refugee problem of Palestinian Arabs.[26]",on  november  the general assembly of the united nations adopted resolution ii recommending the adoption and implementation of a plan to partition palestine into an arab state a jewish state and the city of jerusalem on the next day palestine was swept by violence for four months under continuous arab provocation and attack the yishuv was usually on the defensive while occasionally retaliating the arab league supported the arab struggle by forming the volunteerbased arab liberation army supporting the palestinian arab army of the holy war under the leadership of abd alqadir alhusayni and hasan salama on the jewish side the civil war was managed by the major underground militias  the haganah irgun and lehi  strengthened by numerous jewish veterans of world war ii and foreign volunteers by spring  it was already clear that the arab forces were nearing a total collapse while yishuv forces gained more and more territory creating a large scale refugee problem of palestinian arabs,november general assembly united nations adopted resolution ii recommending adoption implementation plan partition palestine into arab state jewish state city jerusalem next day palestine swept violence four months under continuous arab provocation attack yishuv usually defensive while occasionally retaliating arab league supported arab struggle forming volunteerbased arab liberation army supporting palestinian arab army holy war under leadership abd alqadir alhusayni hasan salama jewish side civil war managed major underground militias haganah irgun lehi strengthened numerous jewish veterans world war ii foreign volunteers spring already clear arab forces were nearing total collapse while yishuv forces gained more more territory creating large scale refugee problem palestinian arabs,0.08136160714285713
h2,History,history,history,0.0
h3,1948 Arab–Israeli War, arabisraeli war,arabisraeli war,0.0
p,"Following the Declaration of the Establishment of the State of Israel on 14 May 1948, the Arab League decided to intervene on behalf of Palestinian Arabs, marching their forces into former British Palestine, beginning the main phase of the 1948 Arab–Israeli War.[35] The overall fighting, leading to around 15,000 casualties, resulted in cease-fire and armistice agreements of 1949, with Israel holding much of the former Mandate territory, Jordan occupying and later annexing the West Bank and Egypt taking over the Gaza Strip, where the All-Palestine Government was declared by the Arab League on 22 September 1948.[28]",following the declaration of the establishment of the state of israel on  may  the arab league decided to intervene on behalf of palestinian arabs marching their forces into former british palestine beginning the main phase of the  arabisraeli war the overall fighting leading to around  casualties resulted in ceasefire and armistice agreements of  with israel holding much of the former mandate territory jordan occupying and later annexing the west bank and egypt taking over the gaza strip where the allpalestine government was declared by the arab league on  september ,following declaration establishment state israel may arab league decided intervene behalf palestinian arabs marching forces into former british palestine beginning main phase arabisraeli war overall fighting leading around casualties resulted ceasefire armistice agreements israel holding much former mandate territory jordan occupying later annexing west bank egypt taking over gaza strip where allpalestine government declared arab league september,0.023809523809523808
h3,1956 Arab–Israeli War, arabisraeli war,arabisraeli war,0.0
p,"Through the 1950s, Jordan and Egypt supported the Palestinian Fedayeen militants' cross-border attacks into Israel, while Israel carried out its own reprisal operations in the host countries. The 1956 Suez Crisis resulted in a short-term Israeli occupation of the Gaza Strip and exile of the All-Palestine Government, which was later restored with Israeli withdrawal. The All-Palestine Government was completely abandoned by Egypt in 1959 and was officially merged into the United Arab Republic, to the detriment of the Palestinian national movement. Gaza Strip then was put under the authority of the Egyptian military administrator, making it a de facto military occupation. In 1964, however, a new organization, the Palestine Liberation Organization (PLO), was established by Yasser Arafat.[35] It immediately won the support of most Arab League governments and was granted a seat in the Arab League.",through the s jordan and egypt supported the palestinian fedayeen militants crossborder attacks into israel while israel carried out its own reprisal operations in the host countries the  suez crisis resulted in a shortterm israeli occupation of the gaza strip and exile of the allpalestine government which was later restored with israeli withdrawal the allpalestine government was completely abandoned by egypt in  and was officially merged into the united arab republic to the detriment of the palestinian national movement gaza strip then was put under the authority of the egyptian military administrator making it a de facto military occupation in  however a new organization the palestine liberation organization plo was established by yasser arafat it immediately won the support of most arab league governments and was granted a seat in the arab league,through s jordan egypt supported palestinian fedayeen militants crossborder attacks into israel while israel carried out own reprisal operations host countries suez crisis resulted shortterm israeli occupation gaza strip exile allpalestine government later restored israeli withdrawal allpalestine government completely abandoned egypt officially merged into united arab republic detriment palestinian national movement gaza strip then put under authority egyptian military administrator making de facto military occupation however new organization palestine liberation organization plo established yasser arafat immediately won support most arab league governments granted seat arab league,0.1623376623376623
h3,1967 Arab–Israeli War, arabisraeli war,arabisraeli war,0.0
p,"The 1967 Six-Day War exerted a significant effect upon Palestinian nationalism, as Israel gained military control of the West Bank from Jordan and the Gaza Strip from Egypt. Consequently, the PLO was unable to establish any control on the ground and established its headquarters in Jordan, home to hundreds of thousands of Palestinians, and supported the Jordanian army during the War of Attrition, which included the Battle of Karameh. However, the Palestinian base in Jordan collapsed with the Jordanian–Palestinian civil war in 1970. The PLO defeat by the Jordanians caused most of the Palestinian militants to relocate to South Lebanon, where they soon took over large areas, creating the so-called ""Fatahland"".",the  sixday war exerted a significant effect upon palestinian nationalism as israel gained military control of the west bank from jordan and the gaza strip from egypt consequently the plo was unable to establish any control on the ground and established its headquarters in jordan home to hundreds of thousands of palestinians and supported the jordanian army during the war of attrition which included the battle of karameh however the palestinian base in jordan collapsed with the jordanianpalestinian civil war in  the plo defeat by the jordanians caused most of the palestinian militants to relocate to south lebanon where they soon took over large areas creating the socalled fatahland,sixday war exerted significant effect upon palestinian nationalism israel gained military control west bank jordan gaza strip egypt consequently plo unable establish any control ground established headquarters jordan home hundreds thousands palestinians supported jordanian army during war attrition included battle karameh however palestinian base jordan collapsed jordanianpalestinian civil war plo defeat jordanians caused most palestinian militants relocate south lebanon where soon took over large areas creating socalled fatahland,-0.05178571428571427
h3,1973 Arab–Israeli War, arabisraeli war,arabisraeli war,0.0
p,"On October 6, 1973, a coalition of Arab forces consisting of mainly Egypt and Syria launched a surprise attack against Israel on the Jewish holy day of Yom Kippur. Egyptian and Syria had crossed over the ceasefire lines that were agreed upon prior to 1973. Egypt had in particular tried to reoccupy much of the area surrounding the Suez Canal, whilst the frontline with Syria was mainly situated around the north in the Golan Heights. The war concluded with an Israeli victory, with both sides suffering tremendous casualties.",on october   a coalition of arab forces consisting of mainly egypt and syria launched a surprise attack against israel on the jewish holy day of yom kippur egyptian and syria had crossed over the ceasefire lines that were agreed upon prior to  egypt had in particular tried to reoccupy much of the area surrounding the suez canal whilst the frontline with syria was mainly situated around the north in the golan heights the war concluded with an israeli victory with both sides suffering tremendous casualties,october coalition arab forces consisting mainly egypt syria launched surprise attack against israel jewish holy day yom kippur egyptian syria crossed over ceasefire lines were agreed upon prior egypt particular tried reoccupy much area surrounding suez canal whilst frontline syria mainly situated around north golan heights war concluded israeli victory both sides suffering tremendous casualties,0.1476190476190476
h3,1982 Lebanon War, lebanon war,lebanon war,0.0
p,"Palestinian insurgency in South Lebanon peaked in the early 1970s, as Lebanon was used as a base to launch attacks on northern Israel and airplane hijacking campaigns worldwide, which drew Israeli retaliation. During the Lebanese Civil War, Palestinian militants continued to launch attacks against Israel while also battling opponents within Lebanon. In 1978, the Coastal Road massacre led to the Israeli full-scale invasion known as Operation Litani. Israeli forces, however, quickly withdrew from Lebanon, and the attacks against Israel resumed. In 1982, following an assassination attempt on one of its diplomats by Palestinians, the Israeli government decided to take sides in the Lebanese Civil War and the 1982 Lebanon War commenced. The initial results for Israel were successful. Most Palestinian militants were defeated within several weeks, Beirut was captured, and the PLO headquarters were evacuated to Tunisia in June by Yasser Arafat's decision.[28]",palestinian insurgency in south lebanon peaked in the early s as lebanon was used as a base to launch attacks on northern israel and airplane hijacking campaigns worldwide which drew israeli retaliation during the lebanese civil war palestinian militants continued to launch attacks against israel while also battling opponents within lebanon in  the coastal road massacre led to the israeli fullscale invasion known as operation litani israeli forces however quickly withdrew from lebanon and the attacks against israel resumed in  following an assassination attempt on one of its diplomats by palestinians the israeli government decided to take sides in the lebanese civil war and the  lebanon war commenced the initial results for israel were successful most palestinian militants were defeated within several weeks beirut was captured and the plo headquarters were evacuated to tunisia in june by yasser arafats decision,palestinian insurgency south lebanon peaked early s lebanon used base launch attacks northern israel airplane hijacking campaigns worldwide drew israeli retaliation during lebanese civil war palestinian militants continued launch attacks against israel while also battling opponents within lebanon coastal road massacre led israeli fullscale invasion known operation litani israeli forces however quickly withdrew lebanon attacks against israel resumed following assassination attempt one diplomats palestinians israeli government decided take sides lebanese civil war lebanon war commenced initial results israel were successful most palestinian militants were defeated within several weeks beirut captured plo headquarters were evacuated tunisia june yasser arafats decision,0.11041666666666666
h3,First Intifada (1987–1993),first intifada ,first intifada,0.25
p,"The first Palestinian uprising began in 1987 as a response to escalating attacks and the endless occupation. By the early 1990s, international efforts to settle the conflict had begun, in light of the success of the Egyptian–Israeli peace treaty of 1982. Eventually, the Israeli–Palestinian peace process led to the Oslo Accords of 1993, allowing the PLO to relocate from Tunisia and take ground in the West Bank and Gaza Strip, establishing the Palestinian National Authority. The peace process also had significant opposition among radical Islamic elements of Palestinian society, such as Hamas and Palestinian Islamic Jihad, who immediately initiated a campaign of attacks targeting Israelis. Following hundreds of casualties and a wave of radical anti-government propaganda, Israeli Prime Minister Rabin was assassinated by an Israeli far-right extremist who objected to the peace initiative. This struck a serious blow to the peace process, from which the newly elected government of Israel in 1996 backed off.[26]",the first palestinian uprising began in  as a response to escalating attacks and the endless occupation by the early s international efforts to settle the conflict had begun in light of the success of the egyptianisraeli peace treaty of  eventually the israelipalestinian peace process led to the oslo accords of  allowing the plo to relocate from tunisia and take ground in the west bank and gaza strip establishing the palestinian national authority the peace process also had significant opposition among radical islamic elements of palestinian society such as hamas and palestinian islamic jihad who immediately initiated a campaign of attacks targeting israelis following hundreds of casualties and a wave of radical antigovernment propaganda israeli prime minister rabin was assassinated by an israeli farright extremist who objected to the peace initiative this struck a serious blow to the peace process from which the newly elected government of israel in  backed off,first palestinian uprising began response escalating attacks endless occupation early s international efforts settle conflict begun light success egyptianisraeli peace treaty eventually israelipalestinian peace process led oslo accords allowing plo relocate tunisia take ground west bank gaza strip establishing palestinian national authority peace process also significant opposition among radical islamic elements palestinian society such hamas palestinian islamic jihad who immediately initiated campaign attacks targeting israelis following hundreds casualties wave radical antigovernment propaganda israeli prime minister rabin assassinated israeli farright extremist who objected peace initiative struck serious blow peace process newly elected government israel backed off,0.08358585858585858
h3,Second Intifada (2000–2005),second intifada ,second intifada,0.0
p,"Following several years of unsuccessful negotiations, the conflict re-erupted as the Second Intifada in September 2000.[28] The violence, escalating into an open conflict between the Palestinian National Security Forces and the Israel Defense Forces, lasted until 2004/2005 and led to approximately 130 fatalities. In 2005, Israeli Prime Minister Sharon ordered the removal of Israeli settlers and soldiers from Gaza. Israel and its Supreme Court formally declared an end to occupation, saying it ""had no effective control over what occurred"" in Gaza.[37] However, the United Nations, Human Rights Watch and many other international bodies and NGOs continue to consider Israel to be the occupying power of the Gaza Strip as Israel controls Gaza Strip's airspace, territorial waters and controls the movement of people or goods in or out of Gaza by air or sea.[37][38][39]",following several years of unsuccessful negotiations the conflict reerupted as the second intifada in september  the violence escalating into an open conflict between the palestinian national security forces and the israel defense forces lasted until  and led to approximately  fatalities in  israeli prime minister sharon ordered the removal of israeli settlers and soldiers from gaza israel and its supreme court formally declared an end to occupation saying it had no effective control over what occurred in gaza however the united nations human rights watch and many other international bodies and ngos continue to consider israel to be the occupying power of the gaza strip as israel controls gaza strips airspace territorial waters and controls the movement of people or goods in or out of gaza by air or sea,following several years unsuccessful negotiations conflict reerupted second intifada september violence escalating into open conflict between palestinian national security forces israel defense forces lasted until led approximately fatalities israeli prime minister sharon ordered removal israeli settlers soldiers gaza israel supreme court formally declared end occupation saying no effective control over occurred gaza however united nations human rights watch many other international bodies ngos continue consider israel occupying power gaza strip israel controls gaza strips airspace territorial waters controls movement people goods out gaza air sea,-0.032499999999999994
h3,Fatah–Hamas split (2006–2007),fatahhamas split ,fatahhamas split,0.0
