Type,Content
p,"Most of these people were born outside Israel, but are descendants of original Palestinian refugees.[136] Palestinian negotiators, such as Yasser Arafat, have so far publicly insisted that refugees have a right to return to the places where they lived before 1948 and 1967, including those within the 1949 Armistice lines, citing the Universal Declaration of Human Rights and UN General Assembly Resolution 194 as evidence. However, according to reports of private peace negotiations with Israel they have countenanced the return of only 10,000 refugees and their families to Israel as part of a peace settlement. Mahmoud Abbas, the current Chairman of the Palestine Liberation Organization was reported to have said in private discussion that it is ""illogical to ask Israel to take 5 million, or indeed 1 million. That would mean the end of Israel.""[140] In a further interview Abbas stated that he no longer had an automatic right to return to Safed in the northern Galilee where he was born in 1935. He later clarified that the remark was his personal opinion and not official policy.[141]"
p,"Palestinian and international authors have justified the right of return of the Palestinian refugees on several grounds:[142][143][144]
Several scholars included in the broader New Historians argue that the Palestinian refugees fled or were chased out or expelled by the actions of the Haganah, Lehi and Irgun, Zionist paramilitary groups.[145][146] A number have also characterized this as an ethnic cleansing.[147][148][149][150] The New Historians cite indications of Arab leaders' desire for the Palestinian Arab population to stay put.[151]"
p,"The Israeli Law of Return that grants citizenship to people of Jewish descent is viewed by critics as discriminatory against other ethnic groups, especially Palestinians that cannot apply for such citizenship under the law of return, to the territory which they were expelled from or fled during the course of the 1948 war.[152][153][154]"
p,"According to the UN Resolution 194, adopted in 1948, ""the refugees wishing to return to their homes and live at peace with their neighbours should be permitted to do so at the earliest practicable date, and that compensation should be paid for the property of those choosing not to return and for loss of or damage to property which, under principles of international law or in equity, should be made good by the Governments or authorities responsible.""[155] UN Resolution 3236 ""reaffirms also the inalienable right of the Palestinians to return to their homes and property from which they have been displaced and uprooted, and calls for their return"".[156] Resolution 242 from the UN affirms the necessity for ""achieving a just settlement of the refugee problem""; however, Resolution 242 does not specify that the ""just settlement"" must or should be in the form of a literal Palestinian right of return.[157]"
p,The most common arguments for opposition are:
p,"Historians still debate the causes of the 1948 Palestinian exodus. Notably, historian Benny Morris states that most of Palestine's 700,000 refugees fled because of the ""flail of war"" and expected to return home shortly after a successful Arab invasion. He documents instances in which Arab leaders advised the evacuation of entire communities as happened in Haifa. In his scholarly work, however, he does conclude that there were expulsions which were carried out.[160][161] Morris considers the displacement the result of a national conflict initiated by the Arabs themselves.[161] In a 2004 interview with Haaretz, he described the exodus as largely resulting from an atmosphere of transfer that was promoted by Ben-Gurion and understood by the military leadership. He also claimed that there ""are circumstances in history that justify ethnic cleansing"".[162] He has been criticized by political scientist Norman Finkelstein for having seemingly changed his views for political, rather than historical, reasons.[163]"
p,Since Jewish people who fled or otherwise emigrated from the Arab world after the Israeli declaration of independence were never compensated or repatriated by their former countries of residence—to no objection on the part of Arab leaders—a precedent has been set whereby it is the responsibility of the nation which accepts the refugees to assimilate them.[164][165][166]
p,"Although Israel accepts the right of the Palestinian Diaspora to return into a new Palestinian state, Israel insists that the return of this population into the current state of Israel would be a great danger for the stability of the Jewish state; an influx of Palestinian refugees would lead to the destruction of the state of Israel.[167]"
p,"According to Efraim Karsh the Palestinians were themselves the aggressors in the 1948–1949 war who attempted to ""cleanse"" a neighboring ethnic community. Had the United Nations resolution of 29 November 1947 recommending partition in Palestine not been subverted by force by the Arab world, there would have been no refugee problem in the first place. He reports of large numbers of Palestinian refugees leaving even before the outbreak of the 1948 war because of disillusionment and economic privation. The British High Commissioner for Palestine spoke of the ""collapsing Arab morale in Palestine"" that he partially attributed to the ""increasing tendency of those who should be leading them to leave the country"" and the considerable evacuations of the Arab effendi class. Huge numbers of Palestinians were also expelled by their leadership to prevent them from becoming Israeli citizens and in Haifa and Tiberias, tens of thousands of Arabs were forcibly evacuated on the instructions of the Arab Higher Committee.[168]"
h3,Israeli security concerns
p,"Throughout the conflict, Palestinian violence has been a concern for Israelis. Israel,[169] along with the United States[170][better source needed] and the European Union, refer to the violence against Israeli civilians and military forces by Palestinian militants as terrorism. The motivations behind Palestinian violence against Israeli civilians are many, and not all violent Palestinian groups agree with each other on specifics. Nonetheless, a common motive is the desire to destroy Israel and replace it with a Palestinian Arab state.[171] The most prominent Islamist groups, such as Hamas and Palestinian Islamic Jihad, view the Israeli–Palestinian conflict as a religious jihad.[172]"
p,"Suicide bombings have been used as a tactic among Palestinian organizations like Hamas, Islamic Jihad, and the Al-Aqsa Martyrs Brigade and certain suicide attacks have received support among Palestinians as high as 84%.[173][174] In Israel, Palestinian suicide bombers have targeted civilian buses, restaurants, shopping malls, hotels and marketplaces.[175] From 1993 to 2003, 303 Palestinian suicide bombers attacked Israel."
p,"The Israeli government initiated the construction of a security barrier following scores of suicide bombings and terrorist attacks in July 2003. Israel's coalition government approved the security barrier in the northern part of the green line between Israel and the West Bank. According to the IDF, since the erection of the fence, terrorist acts have declined by approximately 90%.[176]"
p,"Since 2001, the threat of Qassam rockets fired from Palestinian territories into Israel continues to be of great concern for Israeli defense officials.[177] In 2006—the year following Israel's disengagement from the Gaza Strip—the Israeli government claimed to have recorded 1,726 such launches, more than four times the total rockets fired in 2005.[169][178] As of January 2009, over 8,600 rockets have been launched,[179][180] causing widespread psychological trauma and disruption of daily life.[181] Over 500 rockets and mortars hit Israel in January–September 2010 and over 1,947 rockets hit Israel in January–November 2012."
p,"According to a study conducted by University of Haifa, one in five Israelis have lost a relative or friend in a Palestinian terrorist attack.[182]"
p,"There is significant debate within Israel about how to deal with the country's security concerns. Options have included military action (including targeted killings and house demolitions of terrorist operatives), diplomacy, unilateral gestures toward peace, and increased security measures such as checkpoints, roadblocks and security barriers. The legality and the wisdom of all of the above tactics have been called into question by various commentators.[14][unreliable source?]"
p,"Since mid-June 2007, Israel's primary means of dealing with security concerns in the West Bank has been to cooperate with and permit United States-sponsored training, equipping, and funding of the Palestinian Authority's security forces, which with Israeli help have largely succeeded in quelling West Bank supporters of Hamas.[183]"
h3,Palestinian violence outside of Israel
p,Some Palestinians have committed violent acts over the globe on the pretext of a struggle against Israel.[184][185]
p,"During the late 1960s, the PLO became increasingly infamous for its use of international terror. In 1969 alone, the PLO was responsible for hijacking 82 planes. El Al Airlines became a regular hijacking target.[186][187] The hijacking of Air France Flight 139 by the Popular Front for the Liberation of Palestine culminated during a hostage-rescue mission, where Israeli special forces successfully rescued the majority of the hostages."
p,"However, one of the most well-known and notorious terrorist acts was the capture and eventual murder of 11 Israeli athletes during the 1972 Olympic Games.[188]"
h3,Palestinian-on-Palestinian violence
p,"Fighting among rival Palestinian and Arab movements has played a crucial role in shaping Israel's security policy towards Palestinian militants, as well as in the Palestinian leadership's own policies.[citation needed] As early as the 1930s revolts in Palestine, Arab forces fought each other while also skirmishing with Zionist and British forces, and internal conflicts continue to the present day. During the Lebanese Civil War, Palestinian baathists broke from the Palestine Liberation Organization and allied with the Shia Amal Movement, fighting a bloody civil war that killed thousands of Palestinians.[189][190]"
p,"In the First Intifada, more than a thousand Palestinians were killed in a campaign initiated by the Palestine Liberation Organization to crack down on suspected Israeli security service informers and collaborators. The Palestinian Authority was strongly criticized for its treatment of alleged collaborators, rights groups complaining that those labeled collaborators were denied fair trials. According to a report released by the Palestinian Human Rights Monitoring Group, less than 45 percent of those killed were actually guilty of informing for Israel.[191]"
p,"In the Gaza Strip, Hamas officials have tortured and killed thousands of Fatah members and other Palestinians who oppose their rule. During the Battle of Gaza, more than 150 Palestinians died over a four-day period.[192] The violence among Palestinians was described as a civil war by some commentators. By 2007, more than 600 Palestinian people had died during the struggle between Hamas and Fatah.[193]"
h3,Overriding authority and international status
p,"As far as Israel is concerned, the jurisdiction of the Palestinian Authority is derived from the Oslo Accords, signed with the PLO, under which it acquired control over cities in the Palestinian territories (Area A) while the surrounding countryside came either under Israeli security and Palestinian civil administration (Area B) or complete Israeli civil administration (Area C). Israel has built additional highways to allow Israelis to traverse the area without entering Palestinian cities in Area A. The initial areas under Palestinian Authority control are diverse and non-contiguous. The areas have changed over time by subsequent negotiations, including Oslo II, Wye River and Sharm el-Sheik. According to Palestinians, the separated areas make it impossible to create a viable nation and fails to address Palestinian security needs; Israel has expressed no agreement to withdrawal from some Areas B, resulting in no reduction in the division of the Palestinian areas, and the institution of a safe pass system, without Israeli checkpoints, between these parts."
p,"Under the Oslo Accords, as a security measure, Israel has insisted on its control over all land, sea and air border crossings into the Palestinian territories, and the right to set import and export controls. This is to enable Israel to control the entry into the territories of materials of military significance and of potentially dangerous persons."
p,"The PLO's objective for international recognition of the State of Palestine is considered by Israel as a provocative ""unilateral"" act that is inconsistent with the Oslo Accords."
h3,Water resources
p,"In the Middle East, water resources are of great political concern. Since Israel receives much of its water from two large underground aquifers which continue under the Green Line, the use of this water has been contentious in the Israeli–Palestinian conflict. Israel withdraws most water from these areas, but it also supplies the West Bank with approximately 40 million cubic metres annually, contributing to 77% of Palestinians' water supply in the West Bank, which is to be shared for a population of about 2.6 million.[194]"
p,"While Israel's consumption of this water has decreased since it began its occupation of the West Bank, it still consumes the majority of it: in the 1950s, Israel consumed 95% of the water output of the Western Aquifer, and 82% of that produced by the Northeastern Aquifer. Although this water was drawn entirely on Israel's own side of the pre-1967 border, the sources of the water are nevertheless from the shared groundwater basins located under both West Bank and Israel.[195]"
p,"In the Oslo II Accord, both sides agreed to maintain ""existing quantities of utilization from the resources."" In so doing, the Palestinian Authority established the legality of Israeli water production in the West Bank, subject to a Joint Water Committee (JWC). Moreover, Israel obligated itself in this agreement to provide water to supplement Palestinian production, and further agreed to allow additional Palestinian drilling in the Eastern Aquifer, also subject to the Joint Water Committee.[196][197] The water that Israel receives comes mainly from the Jordan River system, the Sea of Galilee and two underground sources. According to a 2003 BBC article the Palestinians lack access to the Jordan River system.[198]"
p,"According to a report of 2008 by the Food and Agriculture Organization of the United Nations, water resources were confiscated for the benefit of the Israeli settlements in the Ghor. Palestinian irrigation pumps on the Jordan River were destroyed or confiscated after the 1967 war and Palestinians were not allowed to use water from the Jordan River system. Furthermore, the authorities did not allow any new irrigation wells to be drilled by Palestinian farmers, while it provided fresh water and allowed drilling wells for irrigation purposes at the Jewish settlements in the West Bank and Gaza Strip.[199]"
p,"A report was released by the UN in August 2012 and Max Gaylard, the UN Resident and Humanitarian Coordinator in the occupied Palestinian territory, explained at the launch of the publication: ""Gaza will have half a million more people by 2020 while its economy will grow only slowly. In consequence, the people of Gaza will have an even harder time getting enough drinking water and electricity, or sending their children to school"". Gaylard present alongside Jean Gough, of the UN Children's Fund (UNICEF), and Robert Turner, of the UN Relief and Works Agency for Palestinian Refugees in the Near East (UNRWA). The report projects that Gaza's population will increase from 1.6 million people to 2.1 million people in 2020, leading to a density of more than 5,800 people per square kilometre.[200]"
h4,Future and financing
p,Numerous foreign nations and international organizations have established bilateral agreements with the Palestinian and Israeli water authorities. It was estimated that a future investment of about US$1.1bn for the West Bank and $0.8bn for the Gaza Strip Southern Governorates was needed for the planning period from 2003 to 2015.[201]
p,"In late 2012, a donation of $21.6 million was announced by the Government of the Netherlands—the Dutch government stated that the funds would be provided to the UN Relief and Works Agency for Palestinian Refugees in the Near East (UNRWA), for the specific benefit of Palestinian children. An article, published by the UN News website, stated that: ""Of the $21.6 million, $5.7 will be allocated to UNRWA's 2012 Emergency Appeal for the occupied Palestinian territory, which will support programmes in the West Bank and Gaza aiming to mitigate the effects on refugees of the deteriorating situation they face.""[200]"
h3,Israeli occupation of the West Bank
p,"Occupied Palestinian Territory is the term used by the United Nations to refer to the West Bank, including East Jerusalem, and the Gaza Strip—territories which were captured by Israel during the 1967 Six-Day War, having formerly been controlled by Egypt and Jordan.[202]"
p,"In 1980, Israel annexed East Jerusalem.[203] Israel has never annexed the West Bank, apart from East Jerusalem, or Gaza Strip, and the United Nations has demanded the ""[t]ermination of all claims or states of belligerency and respect for and acknowledgment of the sovereignty, territorial integrity and political independence of every State in the area and their right to live in peace within secure and recognized boundaries free from threats or acts of force"" and that Israeli forces withdraw ""from territories occupied in the recent conflict"" – the meaning and intent of the latter phrase is disputed. See Interpretations."
p,"It has been the position of Israel that the most Arab-populated parts of West Bank (without major Jewish settlements), as well as the entire Gaza Strip, must eventually be part of an independent Palestinian State; however, the precise borders of this state are in question. At Camp David, for example, then-Israeli Prime Minister Ehud Barak offered Arafat an opportunity to establish a non-militarized Palestinian State. The proposed state would consist of 77% of the West Bank split into two or three areas, followed by: an increase of 86–91% of the West Bank after six to twenty-one years; autonomy, but not sovereignty for some of the Arab neighborhoods of East Jerusalem surrounded by Israeli territory; the entire Gaza Strip; and the dismantling of most settlements.[56] Arafat rejected the proposal without providing a counter-offer."
p,A subsequent settlement proposed by President Clinton offered Palestinian sovereignty over 94 to 96 percent of the West Bank but was similarly rejected with 52 objections.[55][204][205][12] The Arab League has agreed to the principle of minor and mutually agreed land-swaps as part of a negotiated two state settlement based in June 1967 borders.[206] Official U.S. policy also reflects the ideal of using the 1967 borders as a basis for an eventual peace agreement.[207][208]
p,"Some Palestinians say they are entitled to all of the West Bank, Gaza Strip, and East Jerusalem. Israel says it is justified in not ceding all this land, because of security concerns, and also because the lack of any valid diplomatic agreement at the time means that ownership and boundaries of this land is open for discussion.[209] Palestinians claim any reduction of this claim is a severe deprivation of their rights. In negotiations, they claim that any moves to reduce the boundaries of this land is a hostile move against their key interests. Israel considers this land to be in dispute and feels the purpose of negotiations is to define what the final borders will be. In 2017 Hamas announced that it was ready to support a Palestinian state on the 1967 borders ""without recognising Israel or ceding any rights"".[210] Hamas has previously viewed the peace process ""as religiously forbidden and politically inconceivable"".[172]"
h4,Israeli settlements
p,"According to the Arizona Department of Emergency and Military Affairs (DEMA), ""In the years following the Six-Day War, and especially in the 1990s during the peace process, Israel re-established communities destroyed in 1929 and 1948 as well as established numerous new settlements in the West Bank.""[211] These settlements were, as of 2009, home to about 301,000 people.[212] DEMA added, ""Most of the settlements are in the western parts of the West Bank, while others are deep into Palestinian territory, overlooking Palestinian cities. These settlements have been the site of much inter-communal conflict.""[211] The issue of Israeli settlements in the West Bank and, until 2005, the Gaza Strip, have been described by the UK[213] and the WEU[214] as an obstacle to the peace process. The United Nations and the European Union have also called the settlements ""illegal under international law.""[215][216]"
p,"However, Israel disputes this;[217] several scholars and commentators disagree with the assessment that settlements are illegal, citing in 2005 recent historical trends to back up their argument.[218][219] Those who justify the legality of the settlements use arguments based upon Articles 2 and 49 of the Fourth Geneva Convention, as well as UN Security Council Resolution 242.[220][better source needed] On a practical level, some objections voiced by Palestinians are that settlements divert resources needed by Palestinian towns, such as arable land, water, and other resources; and, that settlements reduce Palestinians' ability to travel freely via local roads, owing to security considerations.[citation needed]"
p,"Former US President George W. Bush has stated that he does not expect Israel to return entirely to the 1949 armistice lines because of ""new realities on the ground"".[221] One of the main compromise plans put forth by the Clinton Administration would have allowed Israel to keep some settlements in the West Bank, especially those which were in large blocs near the pre-1967 borders of Israel. In return, Palestinians would have received some concessions of land in other parts of the country.[citation needed] The Obama administration viewed a complete freeze of construction in settlements on the West Bank as a critical step toward peace. In May and June 2009, President Barack Obama said, ""The United States does not accept the legitimacy of continued Israeli settlements"",[222] and the Secretary of State, Hillary Clinton, stated that the President ""wants to see a stop to settlements—not some settlements, not outposts, not 'natural growth' exceptions.""[223] However, Obama has since declared that the United States will no longer press Israel to stop West Bank settlement construction as a precondition for continued peace-process negotiations with the Palestinian Authority.[224]"
p,"As of 2023, there were about 500,000 Israeli settlers living in the West Bank, with another 200,000 living in East Jerusalem.[225][226][227] In February 2023, Israel's Finance Minister Bezalel Smotrich took charge of most of the Civil Administration, obtaining broad authority over civilian issues in the West Bank.[228][229] In the first six months of 2023, 13,000 housing units were built in settlements, which is almost three times more than in the whole of 2022.[230]"
h3,Blockade of the Gaza Strip
p,"The Israeli government states it is justified under international law to impose a blockade on an enemy for security reasons. The power to impose a naval blockade is established under customary international law and Laws of armed conflict, and a United Nations commission has ruled that Israel's blockade is ""both legal and appropriate.""[231][232] The Israeli Government's continued land, sea and air blockage is tantamount to collective punishment of the population, according to the United Nations Office for the Coordination of Humanitarian Affairs.[233] The Military Advocate General of Israel has provided numerous reasonings for the policy:"
p,"The State of Israel has been engaged in an ongoing armed conflict with terrorist organizations operating in the Gaza strip. This armed conflict has intensified after Hamas violently took over Gaza, in June 2007, and turned the territory under its de facto control into a launching pad of mortar and rocket attacks against Israeli towns and villages in southern Israel.[234]"
p,"According to Oxfam, because of an import-export ban imposed on Gaza in 2007, 95% of Gaza's industrial operations were suspended. Out of 35,000 people employed by 3,900 factories in June 2005, only 1,750 people remained employed by 195 factories in June 2007.[235] By 2010, Gaza's unemployment rate had risen to 40% with 80% of the population living on less than 2 dollars a day.[236]"
p,"In January 2008, the Israeli government calculated how many calories per person were needed to prevent a humanitarian crisis in the Gaza strip, and then subtracted eight percent to adjust for the ""culture and experience"" of the Gazans. Details of the calculations were released following Israeli human rights organization Gisha's application to the high court. Israel's Coordinator of Government Activities in the Territories, who drafted the plan, stated that the scheme was never formally adopted, this was not accepted by Gisha.[238][239][240]"
p,"Starting in February 2008, the Israeli Government reduced the electricity it sells directly to Gaza. This follows the ruling of Israel's High Court of Justice's decision, which held, with respect to the amount of industrial fuel supplied to Gaza, that, ""The clarification that we made indicates that the supply of industrial diesel fuel to the Gaza Strip in the winter months of last year was comparable to the amount that the Respondents now undertake to allow into the Gaza Strip. This fact also indicates that the amount is reasonable and sufficient to meet the vital humanitarian needs in the Gaza Strip."" Palestinian militants killed two Israelis in the process of delivering fuel to the Nahal Oz fuel depot.[241]"
p,"With regard to Israel's plan, the Court stated that, ""calls for a reduction of five percent of the power supply in three of the ten power lines that supply electricity from Israel to the Gaza Strip, to a level of 13.5 megawatts in two of the lines and 12.5 megawatts in the third line, we [the Court] were convinced that this reduction does not breach the humanitarian obligations imposed on the State of Israel in the framework of the armed conflict being waged between it and the Hamas organization that controls the Gaza Strip. Our conclusion is based, in part, on the affidavit of the Respondents indicating that the relevant Palestinian officials stated that they can reduce the load in the event limitations are placed on the power lines, and that they had used this capability in the past."""
p,"On 20 June 2010, Israel's Security Cabinet approved a new system governing the blockade that would allow practically all non-military or dual-use items to enter the Gaza strip. According to a cabinet statement, Israel would ""expand the transfer of construction materials designated for projects that have been approved by the Palestinian Authority, including schools, health institutions, water, sanitation and more – as well as (projects) that are under international supervision.""[242] Despite the easing of the land blockade, Israel will continue to inspect all goods bound for Gaza by sea at the port of Ashdod.[243]"
p,"Prior to a Gaza visit, scheduled for April 2013, Turkey's Prime Minister Recep Tayyip Erdogan explained to Turkish newspaper Hürriyet that the fulfilment of three conditions by Israel was necessary for friendly relations to resume between Turkey and Israel: an apology for the May 2010 Gaza flotilla raid (Prime Minister Netanyahu had delivered an apology to Erdogan by telephone on 22 March 2013), the awarding of compensation to the families affected by the raid, and the lifting of the Gaza blockade by Israel. The Turkish prime minister also explained in the Hürriyet interview, in relation to the April 2013 Gaza visit, ""We will monitor the situation to see if the promises are kept or not.""[244] At the same time, Netanyahu affirmed that Israel would only consider exploring the removal of the Gaza blockade if peace (""quiet"") is achieved in the area.[245]"
p,"On 9 October 2023, Israel declared war on Hamas and imposed a ""total blockade"" of the Gaza Strip.[246] The blockade was announced by Israeli Defense Minister Yoav Gallant, who declared: ""There will be no electricity, no food, no fuel, everything is closed. We are fighting human animals and we are acting accordingly.""[247][248]"
h3,Agricultural rights
p,"Since the beginning of the Israeli–Palestinian conflict, the conflict has been about land.[249] When Israel became a state after the war in 1948, 77% of Palestine's land was used for the creation on the state.[250] The majority of those living in Palestine at the time became refugees in other countries and this first land crisis became the root of the Israeli–Palestinian conflict.[251] Because the root of the conflict is with land, the disputes between Israel and Palestine are well-manifested in the agriculture of Palestine."
p,"In Palestine, agriculture is a mainstay in the economy. The production of agricultural goods supports the population's sustenance needs and fuels Palestine's export economy.[252] According to the Council for European Palestinian Relations, the agricultural sector formally employs 13.4% of the population and informally employs 90% of the population.[252] Over the past 10 years[when?], unemployment rates in Palestine have increased and the agricultural sector became the most impoverished sector in Palestine. Unemployment rates peaked in 2008 when they reached 41% in Gaza.[253]"
p,"Palestinian agriculture suffers from numerous problems including Israeli military and civilian attacks on farms and farmers, blockades to exportation of produce and importation of necessary inputs, widespread confiscation of land for nature reserves as well as military and settler use, confiscation and destruction of wells, and physical barriers within the West Bank.[254]"
h3,Israel's West Bank barrier
p,"With the construction of the separation barrier, the Israeli state promised free movement across regions. However, border closures, curfews, and checkpoints has significantly restricted Palestinian movement.[255] In 2012, there were 99 fixed check points and 310 flying checkpoints.[256] The border restrictions impacted the imports and exports in Palestine and weakened the industrial and agricultural sectors because of the constant Israeli control in the West Bank and Gaza.[257] In order for the Palestinian economy to be prosperous, the restrictions on Palestinian land must be removed.[254] According to The Guardian and a report for World Bank, the Palestinian economy lost $3.4bn (%35 of the annual GDP) to Israeli restrictions in the West Bank alone.[258]"
h3,Economic disputes and boycotts
p,"In Gaza, the agricultural market suffers from economic boycotts and border closures and restrictions placed by Israel.[259] The PA's Minister of Agriculture estimates that around US$1.2 billion were lost in September 2006 because of these security measures. There has also been an economic embargo initiated by the west on Hamas-led Palestine, which has decreased the amount of imports and exports from Palestine.[citation needed] This embargo was brought on by Hamas' refusal to recognize Israel's right to statehood.[citation needed] s a result, the PA's 160,000 employees have not received their salaries in over one year.[260]"
h2,Actions toward stabilizing the conflict
p,"In response to a weakening trend in Palestinian violence and growing economic and security cooperation between Israel and the Palestinian Authority, the Israeli military removed over 120 check points in 2010 and planned on disengaging from major Palestinian population areas. According to the IDF, terrorist activity in the West Bank decreased by 97% compared to violence in 2002.[261]"
p,"PA–Israel efforts in the West Bank have ""significantly increased investor confidence"", and the Palestinian economy grew 6.8% in 2009.[262][263][264][265]"
p,"Since the Second Intifada, Israel has banned Jewish Israelis from entering Palestinian cities. However, Israeli Arabs are allowed to enter West Bank cities on weekends."
p,"The Palestinian Authority has petitioned the Israeli military to allow Jewish tourists to visit West Bank cities as ""part of an effort"" to improve the Palestinian economy. Israeli general Avi Mizrahi spoke with Palestinian security officers while touring malls and soccer fields in the West Bank. Mizrahi gave permission to allow Israeli tour guides into Bethlehem, a move intended to ""contribute to the Palestinian and Israeli economies.""[266]"
h3,Mutual recognition
h4,Between Israel and the PLO
p,"Beginning in 1993 with the Oslo peace process, Israel recognizes ""the PLO as the representative of the Palestinian people"", though Israel does not recognize the State of Palestine.[267] In return, it was agreed that Palestinians would promote peaceful co-existence, renounce violence and promote recognition of Israel among their own people. Despite Yasser Arafat's official renunciation of terrorism and recognition of Israel, some Palestinian groups continue to practice and advocate violence against civilians and do not recognize Israel as a legitimate political entity.[26][268][unreliable source?] Palestinians state that their ability to spread acceptance of Israel was greatly hampered by Israeli restrictions on Palestinian political freedoms, economic freedoms, civil liberties, and quality of life."
h4,Of Israel as a Jewish state
p,"The Palestinian president Mahmoud Abbas has in recent years refused to recognize Israel as a Jewish state, citing concerns for Israeli Arabs and a possible future right to return for Palestinian refugees, though Palestine continues to recognize Israel as a state.[269][270]"
p,"The leader of al-Aqsa Martyrs' Brigades, which is Fatah's official military wing, has stated that any peace agreement must include the right of return of Palestinian refugees into lands now part of Israel, which some Israeli commenters view as ""destroying the Jewish state"".[271] In 2006, Hamas won a majority in the Palestinian Legislative Council, where it remains the majority party. Hamas' charter openly states they seek Israel's destruction, though Hamas leaders have spoken of long-term truces with Israel in exchange for an end to the occupation of Palestinian territory.[268][272]"
h3,Palestinian government
p,"The Palestinian Authority is considered corrupt by a wide variety of sources, including some Palestinians.[273][274][275] Some Israelis argue that it provides tacit support for militants via its relationship with Hamas and other Islamic militant movements, and that therefore it is unsuitable for governing any putative Palestinian state or (especially according to the right wing of Israeli politics), even negotiating about the character of such a state.[209] Because of that, a number of organizations, including the previously ruling Likud party, declared they would not accept a Palestinian state based on the current PA."
h4,Palestinian security apparatus
p,"Starting in 2006, the United States began training, equipping, and funding the Palestinian Authority's security forces, which had been cooperating with Israel at unprecedented levels in the West Bank to quell supporters of Hamas.[183] The US government has spent over $500 million building and training the Palestinian National Security Forces and Presidential Guard.[183] The IDF maintains that the US-trained forces will soon be capable of ""overrunning small IDF outposts and isolated Israeli communities"" in the event of a conflict.[276]"
h3,Views on dialogue versus violence
p,Societal attitudes in both Israel and Palestine are a source of concern to those promoting dispute resolution.
p,"According to a June 2022 poll carried out by the Palestinian Center for Policy and Survey Research that asked Palestinians from the Gaza Strip and the West Bank including East Jerusalem, ""which of the following means is the most effective means of ending the Israeli occupation and building an independent state"", 50% supported ""armed struggle"", 22% favored negotiations until an agreement could be reached, and 21% supported non-violent popular resistance.[18] 59% of respondents cite the armed attack inside Israel carried out by Palestinians unaffiliated with known armed groups as contributing to ending the occupation; 37% disagree. Residents of the Gaza Strip, youth, students, low-income workers, public sector employees, and Hamas supporters are more likely to believe that armed attacks contribute to the national interest.[18] An unconditional resumption of Palestinian-Israeli negotiations is opposed by 69% of Palestinians and supported by 22%. A return to dialogue with the new US administration under Joe Biden is opposed by 65% of Palestinians, while 29% are in favor.[18]"
h2,Fatalities
p,"A variety of studies provide aggregated casualty data for the Israeli–Palestinian conflict. According to the Stockholm International Peace Research Institute, 13,000 Israelis and Palestinians were killed in conflict with each other between 1948 and 1997.[277] Other estimations give 14,500 killed between 1948 and 2009.[277][278] Palestinian fatalities during the 1982 Lebanon War were 2,000 PLO combatants killed in armed conflict with Israel.[279]"
p,"According to B'tselem, during the first intifada from 1987 until 2000, 1,551 Palestinians and 421 Israelis lost their lives.[280] According to the database of the United Nations Office for the Coordination of Humanitarian Affairs - occupied Palestinian territory (OCHAoPt), 6,407 Palestinians and 308 Israelis were killed in the ongoing Israeli–Palestinian conflict from 2008 to September 2023, before the 2023 Israel–Hamas war.[281][282]"
p,"Figures include both Israeli civilians and security forces casualties in West Bank, Gaza and Israel. All numbers refer to casualties of direct conflict between Israelis and Palestinians including in IDF military operations, artillery shelling, search and arrest campaigns, barrier demonstrations, targeted killings, settler violence etc. The figures do not include events indirectly related to the conflict such as casualties from unexploded ordnance, etc., or events when the circumstances remain unclear or are in dispute. The figures include all reported casualties of all ages and both genders.[284]"
h3,Criticism of casualty statistics
p,"As reported by the Israeli human rights group B'Tselem, since 29 September 2000 a total of 7,454 Palestinian and Israeli individuals were killed due to the conflict. According to the report, 1,317 of the 6,371 Palestinians were minors, and at least 2,996 did not participate in fighting at the time of death. Palestinians killed 1,083 Israelis, including 741 civilians, of whom 124 were minors.[286]"
p,"The Israeli-based International Policy Institute for Counter-Terrorism criticized the methodology of Israeli and Palestinian rights groups, including B'Tselem, and questioned their accuracy in classifying civilian/combatant ratios.[287][288]"
h3,Landmines and unexploded ordnance
p,"A comprehensive collection mechanism to gather land mine and explosive remnants of war (ERW) casualty data does not exist for the Palestinian territories.[289] In 2009, the United Nations Mine Action Centre reported that more than 2,500 mine and explosive remnants of war casualties occurred between 1967 and 1998, at least 794 casualties (127 killed, 654 injured and 13 unknown) occurred between 1999 and 2008 and that 12 people had been killed and 27 injured since the Gaza War.[289] The UN Mine Action Centre identified the main risks as coming from ""ERW left behind by Israeli aerial and artillery weapon systems, or from militant caches targeted by the Israeli forces.""[289] There are at least 15 confirmed minefields in the West Bank on the border with Jordan. The Palestinian National Security Forces do not have maps or records of the minefields.[289]"
h2,See also
h2,Notes
h2,Explanatory notes
h2,References
p,"He [Husseini] incited and headed anti-Jewish riots in April 1920. ... He promoted the Muslim character of Jerusalem and ... injected a religious character into the struggle against Zionism. This was the backdrop to his agitation concerning Jewish rights at the Western (Wailing) Wall that led to the bloody riots of August 1929...[H]e was the chief organizer of the riots of 1936 and the rebellion from 1937, as well as of the mounting internal terror against Arab opponents."
p,"The PLO's agreement to support the participation of a Palestinian delegation from the West Bank and Gaza Strip in the Madrid Peace Conferences in late October 1991 further fueled the tension between Fatah and Hamas, which embarked on an intensive campaign against the very idea of territorial compromise and peacemaking with the Jews, as religiously forbidden and politically inconceivable. (p. 339)"
h2,External links
p,United Nations
