Type,Content
p,二战中的犹太人大屠杀进一步推动了犹太人的回归，犹太人复国的理念也越来越强烈。1944至1948年之间，约20万犹太人通过各种途径辗转来到巴勒斯坦地区。第二次世界大战结束后，巴勒斯坦地区已经有60万犹太居民[6]，占当地总人口约1/3。1947年，犹太人已拥有该地区7.4%的土地。此时，该地区的土地11.6%为巴勒斯坦阿拉伯人所有，6.9%为外籍人士所有，70.6%仍为托管地政府所有。[7]
p,1947年，鉴于犹太人与阿拉伯人之间的暴力冲突不断升级，和平努力受到挫败，英国政府决定从巴勒斯坦托管地脱身[8]。联合国成立了“巴勒斯坦专门委员会”。1947年11月联合国大会表决了第181号决议，33国赞成（包括美国和苏联），13国反对，10国弃权（包括英国），通过决议：将巴勒斯坦地区分划为两个国家，犹太人和阿拉伯人分别获得大约55%和45%的领土，联合国计划将耶路撒冷置于国际管理之下，以期避免冲突。分治方案在已开发领土上大致采取照顾传统聚居点、按人口比例均分的原则，结果划出多块相互交错的领土；考虑到未来大量犹太难民的迁入，以及犹太国将有的阿拉伯裔公民，将南部人烟稀少的沙漠地区内盖夫划入犹太国，故犹太人以1/3的人口获得了55%的领土。联大决议使当时拥有巴勒斯坦地区7.4%的土地、占该地区人口1/3的犹太人得到该地区56%的土地（约1.52万平方公里），而拥有该地区11.6%的土地、占该地区人口2/3的巴勒斯坦阿拉伯人则得到43%的土地（约1.15万平方公里）。[7]大卫·本-古里安在联合国通过分划方案的当日接受了该方案，但阿拉伯国家联盟认为“联合国无权插手当地事务”而不予接受，而托管国英国则在对决议表决时弃权。
p,1948年5月14日，即英国的托管期最后一日，以色列国正式宣布成立，同时宣布在1947年分治方案划归它的领土内建立以色列国。阿拉伯裔与犹太裔居民之间当即爆发剧烈的敌对行动[9]。
p,以色列在1949年5月11日加入联合国，成为联合国成员国，以保障其在国际上能够获得广泛承认的国家地位。
h3,1948－1993：中东战争[编辑]
p,在以色列建国之后，由埃及、伊拉克、约旦、叙利亚、黎巴嫩等国组成的阿拉伯联军向以色列发起攻击，引发了以色列独立战争，又称第一次中东战争。北边的叙利亚、黎巴嫩和伊拉克军队都在接近边界的地方被阻挡下来，来自东方的约旦军队则攻下耶路撒冷的东部，并且对城市的西部展开攻击。不过，犹太人的民兵部队成功的阻挡了约旦军队，而地下的国民军组织部队伊尔贡也阻止了来自南方的埃及军队。从6月开始，联合国宣布了一个月的停火令，在这段期间里以色列国防军正式成立。在数个月的战斗后，双方在1949年达成一则停火协议并划定暂时的边界，这条边界线称为“绿线”。以色列在约旦河西岸获得了额外的23.5%的管辖领域[10]，约旦则占有以色列南部一块山地区域和撒马利亚，后来合称为西岸地区。埃及在沿海地区占有一小块的土地，后则称加沙地带。
p,"大量的阿拉伯人口在战争中逃离新成立的犹太国家，阿拉伯人将此次流亡称为“大灾难”（النكبة‎, Nakbah），估计有400,000至900,000名阿拉伯人流亡，后来称为巴勒斯坦难民，联合国估计有711,000人[11]。战争结束后，以色列不许这些巴勒斯坦难民重返家园。以色列与阿拉伯国家之间未解决的冲突、以及巴勒斯坦难民的问题一直持续至今。随着1948年的战争，西岸地区和加沙地带的犹太人口开始迁入以色列，大量来自阿拉伯国家的犹太人移民使得以色列的人口遽增了两倍。在接下来几年里将近850,000名瑟法底犹太人从阿拉伯国家逃离或遭驱逐，其中约有600,000人迁移至以色列。该地区犹太人口在以色列建国一年多后翻倍，由此开始超过阿拉伯人口。"
p,以色列和阿拉伯国家的关系在1956年再次紧绷。埃及在1956年将英法控制的苏伊士运河收归国有，引发以色列、英国和法国不满。以色列秘密地与英法两国结盟，对埃及宣战。在苏伊士运河危机后，英法以三国的行动遭到国际社会的普遍指责。作为三国盟友的美国也不满这次秘密行动，他们将英法的侵略看作是殖民主义的再次体现。英法以三国遭到联合国的谴责，以色列后从西奈半岛撤军。
p,1967年5月，叙利亚、约旦、埃及透露了开战的可能[12]，埃及驱逐了在加沙地带的联合国维和部队，并封锁了以色列战略要地的堤蓝海峡，接着又在以色列边界部署大量的战车和战机。以色列于是在6月5日对埃及展开攻势，击败了所有阿拉伯的军队，并且在空军战场上获得完全的胜利。此次战争被称为第三次中东战争，又称六日战争。以色列一口气夺下了整个西岸地区、加沙地带、西奈半岛、和戈兰高地，1949年划定的绿线则变成以色列管辖本国领土和占领区域的行政分界线。
p,1973年10月6日，正值犹太教的赎罪日当天，埃及和叙利亚等阿拉伯联军对以色列发起突袭攻势，分别攻击六年前六日战争中被以色列占领的西奈半岛和戈兰高地。巴勒斯坦也派出部队支援阿拉伯联军，是为第四次中东战争，又称赎罪日战争。作为代理人战争，苏联支持阿拉伯国家，美国支持以色列；尽管阿拉伯联军在战争初期成功打击准备不足的以色列军队，随着美军向以色列提供卫星侦察结果，主导制定战略，并紧急调遣美国空军F-4鬼怪式多用途战机，在涂改军徽后，由美国飞行员从美国本土起飞，经多次加油飞至以色列，作为以色列空军直接参战，埃及和叙利亚最终仍被以色列击退。战后的几年局势变得较为平静，以色列和埃及终得签署和平协议。
p,为了报复美国支援以色列，阿拉伯石油输出国组织（OAPEC）、石油输出国组织（OPEC）里的阿拉伯国家，由沙特阿拉伯领导，在10月17日决定每个月减低石油产量5%，并威胁彻底禁运。然而美国总统尼克森还是在10月18日向美国国会请求提供了以色列22亿美元的军火。利比亚立即宣布对美国实行石油禁运。由此又导致第一次石油危机，直至1978年，在美国斡旋下签订《戴维营协议》，以色列将西奈半岛还给埃及，“石油危机”得以缓解。
p,"在1982年，以色列在其驻英国大使被巴勒斯坦枪手枪击重伤后，出动陆海空军100,000多名部队，对黎巴嫩境内的巴勒斯坦解放组织和叙利亚军队发动了大规模的进攻，几天时间就占领了黎巴嫩的南半部，并卷入自从1975年以来一直进行的黎巴嫩内战。以色列的开战理由为保护以色列在北方的定居点，当时这些定居点经常受到来自黎巴嫩的恐怖袭击。在建立了四十公里的障碍区后，以色列国防军继续前进，甚至攻下了首都贝鲁特。以色列军队将巴勒斯坦解放组织逐出了黎巴嫩，迫使巴解转移基地至突尼斯。是为黎巴嫩战争。以色列最后在1986年撤出了大部分在黎巴嫩的军队，边界的缓冲地带则一直被维持着，直到2000年以色列进行单方面的撤军。"
p,除以上大规模战争外，以阿间还爆发了多次非战争流血冲突。1968年至1972年这段期间称为消耗战争，以色列和叙利亚、埃及间的边界频繁爆发许多小规模的冲突。除此之外，在1970年代早期，巴勒斯坦武装组织开始对以色列和各国的犹太人展开恐怖攻击，在1972年夏季奥林匹克运动会中爆发了慕尼黑惨案，巴勒斯坦的武装民兵挟持以色列的代表团运动员作为人质，最后所有人质皆遭杀害。以色列对此展开了报复性的“不老泉行动”乃至“天谴行动”，由一群以色列情报特务局（俗称摩萨德）的特工在世界各地暗杀筹划慕尼黑惨案的幕后凶手。
p,在1987年爆发的巴勒斯坦大起义引燃了占领区域的一连串暴动。加沙的巴勒斯坦人怒火中烧，走上街头，采用游行、罢工、抵制美以货物等和平方式，不与占领当局合作，展开与以色列当局持续数年的对抗。巴勒斯坦解放组织总部当时设在突尼斯，“哈马斯”组织被猜度为幕后指挥者。在那次起义中，巴勒斯坦人创造出以落后“冷兵器”向以色列示威的斗争方式，即以青少年在街头投掷石块、自制燃烧瓶与现代武装的军警对抗；这次起义到1993年《奥斯陆协议》签署之后才告一结束。
p,在1979年3月，贝京和沙达特在美国首都华府达成《以色列-埃及和平条约》。随着条约的签订，以色列从西奈半岛撤军，并且撤离了自从1970年代开始在那里建立的移民区。以色列也同意以1949年划定的绿线为基础赋予巴勒斯坦人自治权，而非1947年联大181决议提出的界限。以色列坚持以耶路撒冷为其首都，并正式定为法律。
h3,1993－2000：奥斯陆和平进程[编辑]
p,在1992年选举中，伊扎克·拉宾当选总理，相隔十五年后再度主政。在竞选时，工党曾承诺将会大力改善以色列的国内治安和与阿拉伯国家的关系。到了1993年底，以色列的工党政府抛弃了1991年的马德里协议框架，改与巴解直接签订《奥斯陆协议》。
p,最初以色列大众广泛支持奥斯陆协议，然而在协议签订之后以色列仍然持续遭到哈马斯武装团体的频繁攻击，协议受到的支持也开始大量减少。在1995年11月4日，拉宾遭到极端的以色列民族主义者伊盖尔·阿米尔刺杀。
p,由于拉宾的遇刺，大众对于奥斯陆协议的观感也稍有好转，大为提升了接任人希蒙·佩雷斯的支持度。不过，新的一波自杀炸弹攻势加上阿拉法特赞美炸弹客的声明，使得公众舆论再次扭转，并且在1996年5月的首次总理直接选举，佩雷斯败给了右翼联合党的本雅明·内塔尼亚胡。
p,虽然内塔尼亚胡被视为是奥斯陆协议的坚定反对者，他仍然决定从希伯伦撤军，并且签下了怀伊备忘录（Wye River Memorandum），给予巴勒斯坦民族权力机构更大的自治权力。在内塔尼亚胡任内巴勒斯坦团体对以色列平民的袭击活动大为减少，然而他的联合政府仍然在1999年垮台。在1999年选举中工党的埃胡德·巴拉克以大幅票数差距击败内塔尼亚胡而继任总理。
p,巴拉克和亚西尔·阿拉法特曾在美国总统比尔·克林顿的斡旋下于2000年在大卫营进行协商，然而协商最后失败，阿拉法特提出的条件是一个由73%西岸地区和100%加沙地带组成的巴勒斯坦国家，并且在10至25年时间内将西岸地区的巴勒斯坦领域扩展至90%（排除耶路撒冷郊区则是94%），但巴拉克认为方案否定了以色列在耶路撒冷的地位，而阿拉法特坚持以耶路撒冷作为巴勒斯坦国的首都，拒绝让步。
h3,2000年至今[编辑]
p,在谈判破裂后，巴勒斯坦开始了第二次暴动，称为阿克萨群众起义，暴动开始的时间就发生在以色列反对派领袖阿里埃勒·沙龙访问耶路撒冷圣殿山之后不久。协商的失败以及新暴动的爆发使得许多以色列人对巴拉克政府感到失望，并且也使和平协议的支持度大减。
p,在一场总理的特别选举后，艾里尔·夏隆在2001年2月成为了新的总理，右翼联合党在不到两年后重新主政，稍后又在2003年的选举中成功连任。沙龙开始从加沙地带单方面撤军，这次撤军在2005年8月至9月间完成。
p,以色列开始在西岸地区边界建立了围墙，目的是为了保护以色列免遭武装巴勒斯坦团体的攻击。为了建立长达681公里的围墙，接近围墙的缓冲地区也连带的减少了9.5%的西岸地区面积，使得巴勒斯坦居民的经济状况遭遇困难[13]。围墙的建立遭致了国际间的许多批评，也遭到一些以色列极左派的批评。不过，围墙的确有效减少了对以色列平民的恐怖攻击[14]。
p,2006年6月25日凌晨，8名巴勒斯坦武装人员通过地下通道潜入位于加沙地带南部附近的以军哨所，向坦克和碉堡发射火箭弹，并炸毁一辆装甲车。以军发言人证实，2名士兵被炸身亡，4名士兵受伤。遭绑架的以军士兵是19岁的吉拉德·沙利特。当晚，以色列内阁举行特别会议，决定同意国防军着手营救这名士兵[15]。以色列对此展开了夏雨行动，大量轰炸哈玛斯目标以及其他桥梁、道路、以及发电站。以色列也派军占领此地区。
p,2008年12月19日，哈马斯与以色列签署的停火协议到期，哈马斯向以色列境内发射大约百枚火箭弹和迫击弹，以色列借此发动反击，从12月27日开始对加沙地带实行空中军事攻击。2009年1月3日，以军开始发动地面进攻。
p,2014年7月8日，以色列国防部队发动了名为“保护边缘行动”的针对哈马斯的军事入侵，酿成巴勒斯坦平民死伤惨重[16]。
p,2014年8月27日，以色列和哈马斯达成停火协议，2014年巴以冲突结束[1]。
p,2015年10月11日，以色列国防军在加沙地带边界和参与示威游行的巴勒斯坦人爆发一连串冲突，造成6人死亡和50多人受伤。
p,"2018年5月14日，美国驻以色列耶路撒冷大使馆开幕，正值以色列的独立日，亦是巴勒斯坦“灾难节”的前一日。加沙地带爆发新一轮示威反对美国和以色列，批评两国认定耶路撒冷为以色列的首都，侵占巴勒斯坦的主权。其后以色列警方开枪镇压示威，超过50人死亡、至少2,000人受伤。巴勒斯坦人称之为“大屠杀”，外界相信此次示威为近年巴以冲突中最血腥的一日。多国批评以色列的行动，其中土耳其更加驱逐外交官，以色列则以对方不尊重外交礼仪为由，驱逐土耳其外交官[17]。而美国则支持以色列，指责哈马斯挑起冲突[18]。"
p,2018年12月10日，以色列军人进入拉姆安拉打伤27名巴勒斯坦人。[19]
p,2019年5月3日至6日，自加沙地带两名以色列士兵在加沙-以色列边境的每周抗议活动中受到狙击手射击，加沙-以色列冲突于2019年5月3日开始升级，作为回应，以色列空军进行了空袭，造成四名巴勒斯坦人死亡。此后，加沙向以色列发射了数百枚火箭弹，而以色列空军袭击了加沙地带内的许多目标。此外，以色列增加了在加沙-以色列边界附近的部队人员。在埃及的调解下停火协议于5月6日生效。
p,2019年9月28日，马来西亚首相马哈迪·莫哈末在第74届联合国大会上发表演说时表明，马来西亚无法接受以色列“公然占领巴勒斯坦领土作为定居点，同时侵占耶路撒冷”[20]。
p,2020年5月，巴勒斯坦总统马哈茂德·阿巴斯宣布与美国和以色列的所有协议无效[21]。不过在当年11月17日，巴方决定与以色列恢复双边安保和民事合作[22]。
p,火箭攻击以色列南部影片，2009年3月
p,阿卡桑火箭从加沙平民区向以色列南部发射，2009年1月
p,2008年加沙战争期间，以色列对加沙的空袭
p,2021年5月7日，由于以色列最高法院准备审理驱逐东耶路撒冷谢赫杰拉区巴勒斯坦人出住处一案，加之以色列警方以防疫为理由，限制巴勒斯坦民众斋月期间前往圣殿山祈祷，引爆大规模冲突，以色列部队冲入阿克萨清真寺导致冲突升级。11日哈马斯向以色列中部城市特拉维夫发射火箭弹，以色列随即在加沙轰炸展开还击[23][24][25]。
p,2022年8月5日，以色列国防军以“破晓行动”的名义向加沙地带的武装分子和基础设施发动空袭[26]。
p,2023年1月26日，以色列军方在杰宁市与巴勒斯坦武装分子发生冲突，导致至少9名巴勒斯坦人死亡、20人受伤，9名死者中包括1名年长妇女和8名男性。这起冲突成为杰宁镇20年来，死伤最严重的一次[27][28]。巴勒斯坦总统马哈茂德·阿巴斯宣布为遇难者哀悼三天。同时巴方决定中断与以方的安全协调。巴勒斯坦武装人员同时从加沙地带向以色列发射两枚火箭弹。1月27日，以军表示两枚火箭弹已被防空系统拦截[29]。
p,2023年2月22日晚，以色列军队对纳布卢斯发动突袭，造成11人死亡。[30]2月底，约旦河西岸北部城镇胡瓦拉有两名以色列人遭巴勒斯坦人枪杀，引发住在附近犹太定居点的以色列人不满。大批以色列人袭击巴勒斯坦人的住房，有多间住房和十多架汽车被人放火。袭击中有一名巴勒斯坦男子中枪身亡，4人严重受伤，近一百人吸入催泪气体接受治理。[31]同时以色列与巴勒斯坦官员在约旦会谈，承诺采取措施以缓解不断升级的暴力冲突。同时以色列承诺在未来4个月停止讨论建立任何新的定居点，并在未来6个月停止批准任何新的定居点。[32]
p,2023年3月7日，以军进入约旦河西岸杰宁难民营搜捕，期间与巴勒斯坦人发生冲突，导致6名巴勒斯坦人被以军击毙，另有26名巴勒斯坦人受伤。[33]3月9日，有3名巴勒斯坦人在杰宁被以色列军人打死。[34]4月6日，以色列军队对加沙地带发动空袭。[35]
p,2023年5月9日凌晨起，以色列国防军出动战机空袭对加沙地带发动多轮空袭，截至5月11日，袭击已造成30人死亡，76人受伤。[36][36]死者中包括杰哈德的3名领导人。[37][38]以色列方面遭到火箭弹袭击，造成至少1人死亡。[39]5月12日下午，以色列国防军对加沙地带中部一处公寓发动空袭，造成包括一名杰哈德高级成员在内的多人死亡。[40]5月13日，杰哈德同以色列达成停火协议[41]。5月22日，巴勒斯坦卫生部表示，以色列军队在纳布卢斯打死3名巴勒斯坦人。[42]
p,2023年6月19日，以色列突袭杰宁难民营，打死了包括一名儿童在内的5名巴勒斯坦人，另有691人受伤，其中包括7名以色列士兵。另外这也是以色列20年年来首次动用飞机轰炸约旦河西岸目标。[43]
p,2023年6月20日，两名巴勒斯坦哈马斯武装人员在约旦河西岸的一处犹太人定居点开枪，造成4名以色列人死亡，另有4人受伤。两名袭击者被以军开枪打死。之后以色列国防军宣布向约旦河西岸增派兵力。同时大批犹太定居者攻击了位于约旦河西岸的多个巴勒斯坦城镇，冲突导致至少有30多名巴勒斯坦人受伤。[44]
p,2023年6月21日，以色列军方使用无人机对杰宁一辆汽车发动空袭，造成3名巴勒斯坦人死亡。这是以军2005年以来，首次在西岸地区利用无人机实施暗杀行动。[45]
p,2023年7月3日，以色列军队对杰宁难民营发起突袭，导致至少12名巴勒斯坦人死亡，140人受伤。[46][47]巴勒斯坦总统阿巴斯宣布中断与以方的联系和安全协调。[48]7月4日，特拉维夫北部一街区发生一起驾车袭击事件，造成7人受伤。袭击者被开枪打死。巴勒斯坦伊斯兰抵抗运动发表声明确认袭击者为该组织成员，称袭击目的是为报复以色列正在杰宁进行的大规模军事行动。[49]加沙地带有人朝以色列发射火箭弹。以色列战斗机随即朝加沙地带北部巴勒斯坦伊斯兰抵抗运动的一处地点以及加沙城以西的另一处地点发射导弹[50]。
p,"2023年10月7日（第四次中东战争五十周年纪念日），巴勒斯坦武装组织哈马斯由加沙地带发动代号“阿克萨洪水”的军事行动，发射逾5,000枚火箭弹袭击以色列并派员进入其南部领土。并俘虏了多名以色列国防军将领，以色列国防军随后向对方空袭予以还击，并发出“战争状态警报”。[51][52][53][54]，目前，以色列总理内塔尼亚胡敦促以色列人离开加沙，10月9日，以色列国防部长加兰特表示已下令全面包围加沙地带。"
p,2023年10月18日，联合国安理会就巴以冲突举行了会议，对巴西提出的一份呼吁“实行人道主义暂时停火”的决议草案进行表决，12票赞成、1票反对和2票弃权。由于联合国常任理事国美国，使用了一票否决权，草案最终未能通过。[55]
p,2023年11月13日，以色列拒绝国际社会的停火呼声和示威浪潮，继续在加沙北部难民营对哈马斯武装分子发动进攻。加沙巴人政府称，在空袭中丧生的居民人数已上升至11180人，受伤人数超过28000人。[56]
h2,和平进程[编辑]
p,在1991年，就在波斯湾战争之后，当美国总统乔治·H·W·布什在西班牙的马德里召开了一次被称作1991年马德里和平会议之后，突破性发展发生了。在主办国挪威，以色列和巴勒斯坦举行了一系列的秘密会谈。会后，巴解组织主席亚西尔·阿拉法特和以色列总理伊扎克·拉宾还有美国总统比尔·克林顿在白宫草坪上签署了奥斯陆协议。对于他们的努力，拉宾、阿拉法特和以色列外交部长西蒙·佩雷斯获授1994年度诺贝尔和平奖。
p,在1995年拉宾被暗杀之后，和平进程减慢到几乎停止的地步。巴勒斯坦人在居住地上的生活程况没有改善，以色列定居点也没有拆除。并且，居住在西岸地区的巴勒斯坦人遭受到了来自巴勒斯坦军事组织的自杀式炸弹袭击，夹杂在以色列人的还击下，他们感觉无法生活下去了。
p,2000年，美国总统克林顿召集了一次巴勒斯坦总统亚西尔·阿拉法特和以色列总理埃胡德·巴拉克之间的和平高峰会。以色列总理巴拉克称已经提供了巴勒斯坦人大约95%的有争执的领土，连同在东耶路撒冷上的巴勒斯坦主权。
p,但很多人说，巴拉克提及的69处犹太人定居点（包括85%的西岸犹太人）被划分给以色列，共计是10%的西岸区领土，巴拉克也提议“以色列临时控制”的另外的10%的西岸区是有争议的领土，这一个地区包括许多其他的犹太部落。剩余80%被提议的巴勒斯坦所属西岸地区被以色列公路旁的检查站所瓦解，因为这让巴勒斯坦人削弱他们自由地旅行在领土上旅行而且减少吸收巴勒斯坦难民的能力，尽管克林顿总统先生努力，阿拉法特仍抵制了这个提议并且和谈破裂。
p,在2001年一月在Taba的协议稍后，以色列谈判者呈现了一个新的地图。建议移走“临时受以色列人管制的”地区，巴勒斯坦方面接受了这个提议。然而，巴拉克没有一个有利的位置来把这呈现给以色列的民众因为他的支持率很低还有西岸的公共暴行攻击，他没有作更多是要求。和谈并没有任何协议签署。之后，右翼联合党候选人沙龙在2001年2月当选为以色列总理。
h3,和平路线图[编辑]
p,在2002年7月，在美国的四方斡旋下，向欧盟、联合国和俄罗斯概略的说明了一个称作“和平路线图”的原理，它包括了一个中立的巴勒斯坦国。路线图在2003年四月会见首任巴勒斯坦当局总理阿巴斯后发布。美国和以色列为这个首任新总理上台高兴，他们两者都拒绝与阿拉法特进行和谈。
p,这个计划要求以色列和巴勒斯坦当局各自独立行动，暂时搁置争议直到能建立亲善关系为止。
p,在成功当选之后，阿巴斯说他无法不挑起内战反对哈马斯。很清楚的是阿巴斯只控制了巴勒斯坦安全设施的一小部分，大部分依然由阿拉法特牢牢控制着。在2003年6月29日，哈马斯和回教讨伐异教徒组织同意了3个月的“hudna（英语：hudna）”（临时停火），附加条件是以色列停止暗杀巴勒斯坦领袖和停止处死被以色列管理拘留处释放的巴勒斯坦人。以色列则答应撤回在巴勒斯坦地区的一些军队但是不答应撤销它的暗杀行为。
p,大约6个星期之久，暴行行为真正的减少了：除了在边界。在8月12日hudna在快速被阐明之后。以色列暗杀了二名哈马斯战士和另外二个进入那布卢斯的人。隔天来自那不勒斯的一架哈马斯自杀式炸弹袭击者和一个回教讨伐异教徒组织的自杀式炸弹袭击者各杀了一个以色列人，并打伤数人。8月14日，以色列暗杀了穆罕默德播种者-回教讨伐异教徒组织领袖军事执行官希布伦。8月19日一个哈马斯自杀式炸弹袭击者杀死了34个刚刚在哭墙祈祷后坐公共汽车回来的犹太人。二天之后，以色列直升飞机杀了一个第4级别的哈马斯领袖分子，伊斯迈·阿布·夏那布。哈马斯和回教讨伐异教徒组织申明在现阶段与hudna脱离关系，虽然它实际上早已停止。接下来的几天，以色列直升飞机发射导弹攻击了哈马斯领导所在的加萨走廊。以色列突击队也在希布伦对寻找哈马斯头目阿贝达拉·库瓦萨马、阿默德·巴德和那不勒斯的穆罕莫德·哈那里目标。双方的行动都令其他民众意外伤亡。
p,巴勒斯坦武装法塔赫活跃份子公然地威胁要杀死阿巴斯。阿巴斯没有从阿拉法特那得到权利去执行和平路线图的任何一个方面。在他的下台[需要解释]演讲中，阿巴斯把他的失败归咎于同时缺乏来自巴勒斯坦的当局和民众的政治支持。
h3,更变的和平提议[编辑]
p,借由困难的路线图计划，压力促使去找寻一个替代方案代替。在2003年12月7日，以色列的艾胡德·奥尔默特提议单方面的大规模从西岸地区和加萨走廊撤出，放弃一些犹太人的定居点和一些领土。这行为被解释为沙龙的试验行为，他在12月18日对巴勒斯坦当局的演讲中给巴勒斯坦当局在以色列采取“单方面行动”之前“几个月”时间去落实路线图计划。演讲被美国政府强烈批评，美国警告说反对先发制人的夺取路线图成果。为了以色列人的利益，这应是以以色列人民对安全的关心和达成互惠让步的需要应当作为交换的。
p,"另外的一组两年半的谈判是由前以色列前司法部长约希·贝林和前巴勒斯坦新闻局部长亚瑟·阿贝德·拉波秘密举行的。12月1日，二个当事人在日内瓦（称为日内瓦协定）为和平签署发表了一个非正式的蓝图，它为解决冲突制定了基本的架构。它的最终目标与路线图计划没有太大的不同,但是它解决问题采取了“大爆炸”的方法而不愿采取一个按部就班的方法。它被以色列政府和许多巴勒斯坦人谴责发对，巴勒斯坦当局对其不置可否，但是它被许多欧洲政府和布什政府的重要成员包括美国国务卿科林·鲍威尔所欢迎。"
