Type,Content,content_cleaned,content_segmented,content_processed
p,第一次世界大战中，奥斯曼帝国加入了同盟国，与包括英国在内的协约国为敌。1915至1916年间，时任英国驻埃及高级官员亨利·麦克马洪与汉志阿拉伯教长侯赛因进行了五次通信，达成了巴勒斯坦、叙利亚和伊拉克等地的阿拉伯领袖与协约国共同对奥斯曼作战的协议，而英国同意战后建立独立的阿拉伯国家以交换。1916年9月，英国与法国达成了战后分割奥斯曼中东各省的《赛克斯-皮科协定》[4]。,第一次世界大战中奥斯曼帝国加入了同盟国与包括英国在内的协约国为敌至年间时任英国驻埃及高级官员亨利麦克马洪与汉志阿拉伯教长侯赛因进行了五次通信达成了巴勒斯坦叙利亚和伊拉克等地的阿拉伯领袖与协约国共同对奥斯曼作战的协议而英国同意战后建立独立的阿拉伯国家以交换年月英国与法国达成了战后分割奥斯曼中东各省的赛克斯皮科协定,第一次世界大战 中 奥斯曼帝国 加入 了 同盟国 与 包括 英国 在内 的 协约国 为 敌至 年间 时任 英国 驻 埃及 高级官员 亨利 麦克马洪 与 汉志 阿拉伯 教长 侯赛因 进行 了 五次 通信 达成 了 巴勒斯坦 叙利亚 和 伊拉克 等 地 的 阿拉伯 领袖 与 协约国 共同 对 奥斯曼 作战 的 协议 而 英国 同意 战后 建立 独立 的 阿拉伯 国家 以 交换 年 月 英国 与 法国 达成 了 战后 分割 奥斯曼 中东 各省 的 赛克斯 皮科 协定,第一次世界大战 中 奥斯曼帝国 加入 同盟国 与 包括 英国 在内 协约国 为 敌至 年间 时任 英国 驻 埃及 高级官员 亨利 麦克马洪 与 汉志 阿拉伯 教长 侯赛因 进行 五次 通信 达成 巴勒斯坦 叙利亚 伊拉克 等 地 阿拉伯 领袖 与 协约国 共同 对 奥斯曼 作战 协议 而 英国 同意 战后 建立 独立 阿拉伯 国家 以 交换 年 月 英国 与 法国 达成 战后 分割 奥斯曼 中东 各省 赛克斯 皮科 协定
p,锡安主义运动的发展推动了第二次回归的浪潮（1904-1914年），约有四万名犹太人返回定居。1917年，英国外交大臣阿瑟·贝尔福发表《贝尔福宣言》：“英王陛下政府赞成在巴勒斯坦建立一个犹太人的民族家园，并将尽最大努力促其实现”。当时，犹太人在巴勒斯坦地区除老依舒夫（英语：Old Yishuv）外只拥有少量土地。,锡安主义运动的发展推动了第二次回归的浪潮年约有四万名犹太人返回定居年英国外交大臣阿瑟贝尔福发表贝尔福宣言英王陛下政府赞成在巴勒斯坦建立一个犹太人的民族家园并将尽最大努力促其实现当时犹太人在巴勒斯坦地区除老依舒夫英语外只拥有少量土地,锡安 主义 运动 的 发展 推动 了 第二次 回归 的 浪潮 年 约 有 四万名 犹太人 返回 定居 年 英国 外交大臣 阿瑟 贝尔福 发表 贝尔福 宣言 英王 陛下 政府 赞成 在 巴勒斯坦 建立 一个 犹太人 的 民族 家园 并 将 尽 最大 努力 促其 实现 当时 犹太人 在 巴勒斯坦地区 除 老 依舒夫 英语 外 只 拥有 少量 土地,锡安 主义 运动 发展 推动 第二次 回归 浪潮 年 约 四万名 犹太人 返回 定居 年 英国 外交大臣 阿瑟 贝尔福 发表 贝尔福 宣言 英王 陛下 政府 赞成 巴勒斯坦 建立 犹太人 民族 家园 并 将 尽 最大 努力 促其 实现 当时 犹太人 巴勒斯坦地区 除 老 依舒夫 英语 外 只 拥有 少量 土地
p,1919年1月，哈伊姆·魏茨曼与伊拉克国王费萨尔一世签署了《费萨尔-魏茨曼协定（英语：Faisal–Weizmann agreement）》，费萨尔在协定中接受《贝尔福宣言》，但条件是英国必须遵守此前关于阿拉伯国家独立的承诺[5]。,年月哈伊姆魏茨曼与伊拉克国王费萨尔一世签署了费萨尔魏茨曼协定英语费萨尔在协定中接受贝尔福宣言但条件是英国必须遵守此前关于阿拉伯国家独立的承诺,年 月 哈伊 姆 魏茨 曼 与 伊拉克 国王 费萨尔 一世 签署 了 费萨尔 魏茨 曼 协定 英语 费萨尔 在 协定 中 接受 贝尔福 宣言 但 条件 是 英国 必须 遵守 此前 关于 阿拉伯 国家 独立 的 承诺,年 月 哈伊 姆 魏茨 曼 与 伊拉克 国王 费萨尔 一世 签署 费萨尔 魏茨 曼 协定 英语 费萨尔 协定 中 接受 贝尔福 宣言 但 条件 英国 必须 遵守 此前 关于 阿拉伯 国家 独立 承诺
h3,1920－1948：英属巴勒斯坦托管地[编辑],英属巴勒斯坦托管地编辑,英 属 巴勒斯坦 托管地 编辑,英 属 巴勒斯坦 托管地 编辑
p,"一战中，1915年，在丘吉尔的主导下，英法军队对奥斯曼帝国发动了加里波利之战，遭遇惨败。随后英国军官阿拉伯的劳伦斯组织当地以贝都因人部落为主的军事力量与奥斯曼帝国作战，有效削弱了奥斯曼帝国的势力。1918年一战结束后，奥斯曼帝国完全退出此地区并于1923年瓦解，而阿拉伯部落之间纷争不断，最后默认由英国占领。1920年，国际联盟委托英国管辖巴勒斯坦地区，包含今约旦、巴以地区。1922年英国将托管地划分为两部分：约旦河东部（现约旦）由哈希姆家族实际管理，约旦河西部由英国控制，此时这些地区犹太人占总人口的11%，与阿拉伯人混居。第一次世界大战后，犹太人掀起了第三和第四次回归浪潮。1931年，犹太人占当地总人口的17%。接着在1933年，纳粹党在德国执政，掀起第五次犹太人回归浪潮。1936年巴勒斯坦阿拉伯人大起义后，英国的皮尔委员会在1937年首次提议将巴勒斯坦地区划分为犹太国和阿拉伯国。1940年，犹太人已占当地居民总数的30%。随着犹太居民比例从1922年的11%增涨至1940年的30%，犹太人与阿拉伯人之间的关系也日趋紧张。对此英国在1939年颁布了一份白皮书，规定1939年后的5年内犹太人可再移民75,000人，此后不再接受犹太移民。许多犹太人和锡安主义者视这份白皮书为对犹太人的背叛，认为此举违背了《贝尔福宣言》，亦有犹太人持不同意见。阿拉伯人的抗议活动并没有就此平息，他们希望托管地政府完全停止准许犹太人移居当地。",一战中年在丘吉尔的主导下英法军队对奥斯曼帝国发动了加里波利之战遭遇惨败随后英国军官阿拉伯的劳伦斯组织当地以贝都因人部落为主的军事力量与奥斯曼帝国作战有效削弱了奥斯曼帝国的势力年一战结束后奥斯曼帝国完全退出此地区并于年瓦解而阿拉伯部落之间纷争不断最后默认由英国占领年国际联盟委托英国管辖巴勒斯坦地区包含今约旦巴以地区年英国将托管地划分为两部分约旦河东部现约旦由哈希姆家族实际管理约旦河西部由英国控制此时这些地区犹太人占总人口的与阿拉伯人混居第一次世界大战后犹太人掀起了第三和第四次回归浪潮年犹太人占当地总人口的接着在年纳粹党在德国执政掀起第五次犹太人回归浪潮年巴勒斯坦阿拉伯人大起义后英国的皮尔委员会在年首次提议将巴勒斯坦地区划分为犹太国和阿拉伯国年犹太人已占当地居民总数的随着犹太居民比例从年的增涨至年的犹太人与阿拉伯人之间的关系也日趋紧张对此英国在年颁布了一份白皮书规定年后的年内犹太人可再移民人此后不再接受犹太移民许多犹太人和锡安主义者视这份白皮书为对犹太人的背叛认为此举违背了贝尔福宣言亦有犹太人持不同意见阿拉伯人的抗议活动并没有就此平息他们希望托管地政府完全停止准许犹太人移居当地,一战 中年 在 丘吉尔 的 主导 下 英法军 队 对 奥斯曼帝国 发动 了 加里 波利 之战 遭遇 惨败 随后 英国 军官 阿拉伯 的 劳伦斯 组织 当地 以贝 都 因人 部落 为主 的 军事力量 与 奥斯曼帝国 作战 有效 削弱 了 奥斯曼帝国 的 势力 年 一战 结束 后 奥斯曼帝国 完全 退出 此 地区 并于 年 瓦解 而 阿拉伯 部落 之间 纷争 不断 最后 默认 由 英国 占领 年 国际联盟 委托 英国 管辖 巴勒斯坦地区 包含 今 约旦 巴 以 地区 年 英国 将 托管地 划分 为 两 部分 约旦河 东部 现 约旦 由 哈希姆 家族 实际 管理 约旦河 西部 由 英国 控制 此时 这些 地区 犹太人 占 总人口 的 与 阿拉伯人 混居 第一次世界大战 后 犹太人 掀起 了 第三 和 第四次 回归 浪潮 年 犹太人 占 当地 总人口 的 接着 在 年 纳粹党 在 德国 执政 掀起 第五次 犹太人 回归 浪潮 年 巴勒斯坦 阿拉伯人 大 起义 后 英国 的 皮尔 委员会 在 年 首次 提议 将 巴勒斯坦地区 划分 为 犹太国 和 阿拉伯国 年 犹太人 已 占 当地 居民 总数 的 随着 犹太 居民 比例 从 年 的 增涨 至 年 的 犹太人 与 阿拉伯人 之间 的 关系 也 日趋 紧张 对此 英国 在 年 颁布 了 一份 白皮书 规定 年 后 的 年内 犹太人 可 再 移民 人 此后 不再 接受 犹太 移民 许多 犹太人 和 锡安 主义者 视 这份 白皮书 为 对 犹太人 的 背叛 认为 此举 违背 了 贝尔福 宣言 亦 有 犹太人 持 不同 意见 阿拉伯人 的 抗议 活动 并 没有 就此 平息 他们 希望 托管地 政府 完全 停止 准许 犹太人 移居 当地,一战 中年 丘吉尔 主导 下 英法军 队 对 奥斯曼帝国 发动 加里 波利 之战 遭遇 惨败 随后 英国 军官 阿拉伯 劳伦斯 组织 当地 以贝 因人 部落 为主 军事力量 与 奥斯曼帝国 作战 有效 削弱 奥斯曼帝国 势力 年 一战 结束 后 奥斯曼帝国 完全 退出 此 地区 并于 年 瓦解 而 阿拉伯 部落 之间 纷争 不断 最后 默认 由 英国 占领 年 国际联盟 委托 英国 管辖 巴勒斯坦地区 包含 今 约旦 巴 以 地区 年 英国 将 托管地 划分 为 两 部分 约旦河 东部 现 约旦 由 哈希姆 家族 实际 管理 约旦河 西部 由 英国 控制 此时 这些 地区 犹太人 占 总人口 与 阿拉伯人 混居 第一次世界大战 后 犹太人 掀起 第三 第四次 回归 浪潮 年 犹太人 占 当地 总人口 接着 年 纳粹党 德国 执政 掀起 第五次 犹太人 回归 浪潮 年 巴勒斯坦 阿拉伯人 大 起义 后 英国 皮尔 委员会 年 首次 提议 将 巴勒斯坦地区 划分 为 犹太国 阿拉伯国 年 犹太人 已 占 当地 居民 总数 随着 犹太 居民 比例 从 年 增涨 至 年 犹太人 与 阿拉伯人 之间 关系 日趋 紧张 对此 英国 年 颁布 一份 白皮书 规定 年 后 年内 犹太人 可 再 移民 此后 不再 接受 犹太 移民 许多 犹太人 锡安 主义者 视 这份 白皮书 为 对 犹太人 背叛 认为 此举 违背 贝尔福 宣言 亦 犹太人 持 不同 意见 阿拉伯人 抗议 活动 并 就此 平息 他们 希望 托管地 政府 完全 停止 准许 犹太人 移居 当地
p,二战中的犹太人大屠杀进一步推动了犹太人的回归，犹太人复国的理念也越来越强烈。1944至1948年之间，约20万犹太人通过各种途径辗转来到巴勒斯坦地区。第二次世界大战结束后，巴勒斯坦地区已经有60万犹太居民[6]，占当地总人口约1/3。1947年，犹太人已拥有该地区7.4%的土地。此时，该地区的土地11.6%为巴勒斯坦阿拉伯人所有，6.9%为外籍人士所有，70.6%仍为托管地政府所有。[7],二战中的犹太人大屠杀进一步推动了犹太人的回归犹太人复国的理念也越来越强烈至年之间约万犹太人通过各种途径辗转来到巴勒斯坦地区第二次世界大战结束后巴勒斯坦地区已经有万犹太居民占当地总人口约年犹太人已拥有该地区的土地此时该地区的土地为巴勒斯坦阿拉伯人所有为外籍人士所有仍为托管地政府所有,二战 中 的 犹太人 大屠杀 进一步 推动 了 犹太人 的 回归 犹太人 复国 的 理念 也 越来越 强烈 至 年 之间 约 万 犹太人 通过 各种 途径 辗转 来到 巴勒斯坦地区 第二次世界大战 结束 后 巴勒斯坦地区 已经 有 万 犹太 居民 占 当地 总人口 约 年 犹太人 已 拥有 该 地区 的 土地 此时 该 地区 的 土地 为 巴勒斯坦 阿拉伯人 所有 为 外籍人士 所有 仍为 托管地 政府 所有,二战 中 犹太人 大屠杀 进一步 推动 犹太人 回归 犹太人 复国 理念 越来越 强烈 至 年 之间 约 万 犹太人 通过 各种 途径 辗转 来到 巴勒斯坦地区 第二次世界大战 结束 后 巴勒斯坦地区 已经 万 犹太 居民 占 当地 总人口 约 年 犹太人 已 拥有 该 地区 土地 此时 该 地区 土地 为 巴勒斯坦 阿拉伯人 所有 为 外籍人士 所有 仍为 托管地 政府 所有
p,1947年，鉴于犹太人与阿拉伯人之间的暴力冲突不断升级，和平努力受到挫败，英国政府决定从巴勒斯坦托管地脱身[8]。联合国成立了“巴勒斯坦专门委员会”。1947年11月联合国大会表决了第181号决议，33国赞成（包括美国和苏联），13国反对，10国弃权（包括英国），通过决议：将巴勒斯坦地区分划为两个国家，犹太人和阿拉伯人分别获得大约55%和45%的领土，联合国计划将耶路撒冷置于国际管理之下，以期避免冲突。分治方案在已开发领土上大致采取照顾传统聚居点、按人口比例均分的原则，结果划出多块相互交错的领土；考虑到未来大量犹太难民的迁入，以及犹太国将有的阿拉伯裔公民，将南部人烟稀少的沙漠地区内盖夫划入犹太国，故犹太人以1/3的人口获得了55%的领土。联大决议使当时拥有巴勒斯坦地区7.4%的土地、占该地区人口1/3的犹太人得到该地区56%的土地（约1.52万平方公里），而拥有该地区11.6%的土地、占该地区人口2/3的巴勒斯坦阿拉伯人则得到43%的土地（约1.15万平方公里）。[7]大卫·本-古里安在联合国通过分划方案的当日接受了该方案，但阿拉伯国家联盟认为“联合国无权插手当地事务”而不予接受，而托管国英国则在对决议表决时弃权。,年鉴于犹太人与阿拉伯人之间的暴力冲突不断升级和平努力受到挫败英国政府决定从巴勒斯坦托管地脱身联合国成立了巴勒斯坦专门委员会年月联合国大会表决了第号决议国赞成包括美国和苏联国反对国弃权包括英国通过决议将巴勒斯坦地区分划为两个国家犹太人和阿拉伯人分别获得大约和的领土联合国计划将耶路撒冷置于国际管理之下以期避免冲突分治方案在已开发领土上大致采取照顾传统聚居点按人口比例均分的原则结果划出多块相互交错的领土考虑到未来大量犹太难民的迁入以及犹太国将有的阿拉伯裔公民将南部人烟稀少的沙漠地区内盖夫划入犹太国故犹太人以的人口获得了的领土联大决议使当时拥有巴勒斯坦地区的土地占该地区人口的犹太人得到该地区的土地约万平方公里而拥有该地区的土地占该地区人口的巴勒斯坦阿拉伯人则得到的土地约万平方公里大卫本古里安在联合国通过分划方案的当日接受了该方案但阿拉伯国家联盟认为联合国无权插手当地事务而不予接受而托管国英国则在对决议表决时弃权,年 鉴于 犹太人 与 阿拉伯人 之间 的 暴力 冲突 不断 升级 和平 努力 受到 挫败 英国政府 决定 从 巴勒斯坦 托管地 脱身 联合国 成立 了 巴勒斯坦 专门 委员会 年 月 联合国大会 表决 了 第号 决议 国 赞成 包括 美国 和 苏联 国 反对 国 弃权 包括 英国 通过 决议 将 巴勒斯坦地区 分划 为 两个 国家 犹太人 和 阿拉伯人 分别 获得 大约 和 的 领土 联合国 计划 将 耶路撒冷 置于 国际 管理 之下 以期 避免 冲突 分治 方案 在 已 开发 领土 上 大致 采取 照顾 传统 聚居点 按 人口比例 均分 的 原则 结果 划出 多块 相互 交错 的 领土 考虑 到 未来 大量 犹太 难民 的 迁入 以及 犹太国 将 有 的 阿拉伯 裔 公民 将 南部 人烟稀少 的 沙漠 地区 内盖夫 划入 犹太国 故 犹太人 以 的 人口 获得 了 的 领土 联大 决议 使 当时 拥有 巴勒斯坦地区 的 土地 占该 地区 人口 的 犹太人 得到 该 地区 的 土地 约 万平方公里 而 拥有 该 地区 的 土地 占该 地区 人口 的 巴勒斯坦 阿拉伯人 则 得到 的 土地 约 万平方公里 大卫 本 古里安 在 联合国 通过 分划 方案 的 当日 接受 了 该 方案 但 阿拉伯国家联盟 认为 联合国 无权 插手 当地 事务 而 不予 接受 而 托管国 英国 则 在 对 决议 表决 时 弃权,年 鉴于 犹太人 与 阿拉伯人 之间 暴力 冲突 不断 升级 和平 努力 受到 挫败 英国政府 决定 从 巴勒斯坦 托管地 脱身 联合国 成立 巴勒斯坦 专门 委员会 年 月 联合国大会 表决 第号 决议 国 赞成 包括 美国 苏联 国 反对 国 弃权 包括 英国 通过 决议 将 巴勒斯坦地区 分划 为 两个 国家 犹太人 阿拉伯人 分别 获得 大约 领土 联合国 计划 将 耶路撒冷 置于 国际 管理 之下 以期 避免 冲突 分治 方案 已 开发 领土 大致 采取 照顾 传统 聚居点 按 人口比例 均分 原则 结果 划出 多块 相互 交错 领土 考虑 未来 大量 犹太 难民 迁入 以及 犹太国 将 阿拉伯 裔 公民 将 南部 人烟稀少 沙漠 地区 内盖夫 划入 犹太国 故 犹太人 以 人口 获得 领土 联大 决议 使 当时 拥有 巴勒斯坦地区 土地 占该 地区 人口 犹太人 得到 该 地区 土地 约 万平方公里 而 拥有 该 地区 土地 占该 地区 人口 巴勒斯坦 阿拉伯人 则 得到 土地 约 万平方公里 大卫 本 古里安 联合国 通过 分划 方案 当日 接受 该 方案 但 阿拉伯国家联盟 认为 联合国 无权 插手 当地 事务 而 不予 接受 而 托管国 英国 则 对 决议 表决 时 弃权
p,1948年5月14日，即英国的托管期最后一日，以色列国正式宣布成立，同时宣布在1947年分治方案划归它的领土内建立以色列国。阿拉伯裔与犹太裔居民之间当即爆发剧烈的敌对行动[9]。,年月日即英国的托管期最后一日以色列国正式宣布成立同时宣布在年分治方案划归它的领土内建立以色列国阿拉伯裔与犹太裔居民之间当即爆发剧烈的敌对行动,年月日 即 英国 的 托管期 最后 一日 以色列国 正式 宣布 成立 同时 宣布 在 年 分治 方案 划归 它 的 领土 内 建立 以色列国 阿拉伯 裔 与 犹太裔 居民 之间 当即 爆发 剧烈 的 敌对行动,年月日 即 英国 托管期 最后 一日 以色列国 正式 宣布 成立 同时 宣布 年 分治 方案 划归 它 领土 内 建立 以色列国 阿拉伯 裔 与 犹太裔 居民 之间 当即 爆发 剧烈 敌对行动
p,以色列在1949年5月11日加入联合国，成为联合国成员国，以保障其在国际上能够获得广泛承认的国家地位。,以色列在年月日加入联合国成为联合国成员国以保障其在国际上能够获得广泛承认的国家地位,以色列 在 年月日 加入 联合国 成为 联合国 成员国 以 保障 其 在 国际 上 能够 获得 广泛 承认 的 国家 地位,以色列 年月日 加入 联合国 成为 联合国 成员国 以 保障 其 国际 能够 获得 广泛 承认 国家 地位
h3,1948－1993：中东战争[编辑],中东战争编辑,中东战争 编辑,中东战争 编辑
